gbifID,species,decimalLatitude,decimalLongitude,eventDate,year,month,countryCode,stateProvince
5206715855,Diplocarpon rosae,43.21405,27.914733,2025-05-10T18:19,2025,5,BG,Varna
5935415395,Diplocarpon rosae,43.21405,27.914733,2025-09-19T18:02,2025,9,BG,Varna
